trial_nr	onset	event_type	phase	response	nr_frames	block_type	trial_type	phase_duration_   0	phase_duration	onset_abs	duration
0	0.007797500118613243	stim	0		179	break	break	3.0		13.005726500414312	2.9927399000152946
1	3.000537400133908	stim	0		0	rivalry	house_face	12.0		15.998466400429606	11.869085299782455
1	14.869622699916363	house_face	0	space	719	rivalry	house_face		12.0	27.86755170021206	0.13269650004804134
0	15.002319199964404	stim	0		180	break	break	3.0		28.000248200260103	3.0030525997281075
2	18.00537179969251	stim	0		303	unambiguous	house	5.081355010904441		31.00330079998821	5.0748389000073075
3	23.08021069969982	stim	0		415	unambiguous	face	6.918644989095559		36.07813969999552	6.920604800339788
0	30.000815500039607	stim	0		180	break	break	3.0		42.998744500335306	3.0002488996833563
4	33.001064399722964	stim	0		0	rivalry	house_face	12.0		45.99899340001866	4.272192700300366
4	37.27325710002333	house_face	0	space	0	rivalry	house_face		12.0	50.27118610031903	1.3487080000340939
4	38.62196510005742	house_face	0	space	0	rivalry	house_face		12.0	51.61989410035312	1.0674423999153078
4	39.68940749997273	house_face	0	space	0	rivalry	house_face		12.0	52.68733650026843	1.823264699894935
4	41.512672199867666	house_face	0	space	717	rivalry	house_face		12.0	54.510601200163364	3.5022783000022173
0	45.01495049986988	stim	0		178	break	break	3.0		58.01287950016558	2.9836472999304533
5	47.998597799800336	stim	0		0	unambiguous	face	6.707420402494347		60.996526800096035	6.67213479988277
5	54.670732599683106	face	0	space	402	unambiguous	face		6.707420402494347	67.6686615999788	0.048416200093925
6	54.71914879977703	stim	0		0	unambiguous	house	5.292579597505653		67.71707780007273	1.103377700317651
6	55.82252650009468	house	0	space	0	unambiguous	house		5.292579597505653	68.82045550039038	3.6524959998205304
6	59.47502249991521	house	0	space	314	unambiguous	house		5.292579597505653	72.47295150021091	0.5393686997704208
0	60.01439119968563	stim	0		179	break	break	3.0		73.01232019998133	9.083149200305343
