trial_nr	onset	event_type	phase	response	nr_frames	block_type	trial_type	onset_abs	duration
0	0.017403200268745422	stim	0		177	break	break	3.2681407001800835	2.992601899895817
1	3.0100051001645625	stim	0		0	unambiguous	face	6.2607426000759006	2.169905200134963
1	5.179910300299525	face	0	space	0	unambiguous	face	8.430647800210863	1.806497999932617
1	6.986408300232142	face	0	r	0	unambiguous	face	10.23714580014348	0.18494519963860512
1	7.171353499870747	face	0	r	689	unambiguous	face	10.422090999782085	7.403130100108683
2	14.57448359997943	stim	0		252	unambiguous	house	17.82522109989077	4.222699600271881
