trial_nr	onset	event_type	phase	response	nr_frames	block_type	trial_type	onset_abs	duration
0	0.009943699929863214	stim	0		179	break	break	2.2024540998972952	2.990702500101179
1	3.000646200031042	stim	0		374	unambiguous	face	5.193156599998474	6.252162500284612
2	9.252808700315654	stim	0		340	unambiguous	house	11.445319100283086	5.750063499901444
0	15.002872200217098	stim	0		178	break	break	17.19538260018453	3.0064886999316514
3	18.00936090014875	stim	0		718	rivalry	house_face	20.20187130011618	11.99453190015629
0	30.00389280030504	stim	0		180	break	break	32.19640320027247	3.007316999603063
4	33.0112097999081	stim	0		440	unambiguous	house	35.203720199875534	7.351455400232226
