trial_nr	onset	event_type	phase	response	nr_frames	block_type	trial_type	onset_abs	duration
0	0.013411998748779297	stim	0		357	break	break	1079.6912369728088	2.992532968521118
1	3.0059449672698975	stim	0		1238	unambiguous	face	1082.68376994133	10.31673002243042
2	13.322674989700317	stim	0		0	unambiguous	house	1093.0004999637604	0.39563679695129395
2	13.718311786651611	house	0	4	1570	unambiguous	house	1093.3961367607117	12.697877168655396
3	26.416188955307007	stim	0		0	unambiguous	face	1106.094013929367	0.3250868320465088
3	26.741275787353516	face	0	3	500	unambiguous	face	1106.4191007614136	3.853501081466675
