trial_nr	onset	event_type	phase	response	nr_frames	block_type	trial_type	onset_abs	duration
0	0.01906860014423728	stim	0		179	break	break	2.6369870002381504	2.9877196000888944
1	3.0067882002331316	stim	0		227	unambiguous	face	5.624706600327045	3.787817199714482
2	6.7946053999476135	stim	0		492	unambiguous	house	9.412523800041527	8.21670959983021
0	15.011314999777824	stim	0		179	break	break	17.629233399871737	2.988400200381875
3	17.9997152001597	stim	0		718	rivalry	house_face	20.617633600253612	12.013692900072783
0	30.013408100232482	stim	0		178	break	break	32.631326500326395	2.9874789998866618
4	33.000887100119144	stim	0		435	unambiguous	house	35.61880550021306	7.280456299893558
