trial_nr	onset	event_type	phase	response	nr_frames	block_type	trial_type	phase_duration_   0	phase_duration	onset_abs	duration
0	0.004526800010353327	stim	0		180	break	break	3.0		3.8507117996923625	3.005504900123924
1	3.0100317001342773	stim	0		0	rivalry	house_face	20.0		6.856216699816287	0.7830731999129057
1	3.793104900047183	house_face	0	space	0	rivalry	house_face		20.0	7.639289899729192	4.3245120998471975
1	8.11761699989438	house_face	0	space	0	rivalry	house_face		20.0	11.96380199957639	1.399033899884671
1	9.516650899779052	house_face	0	space	0	rivalry	house_face		20.0	13.36283589946106	1.9348830003291368
1	11.451533900108188	house_face	0	space	0	rivalry	house_face		20.0	15.297718899790198	3.385004799813032
1	14.83653869992122	house_face	0	space	0	rivalry	house_face		20.0	18.68272369960323	2.0681302999146283
1	16.90466899983585	house_face	0	space	0	rivalry	house_face		20.0	20.750853999517858	3.8863321002572775
1	20.791001100093126	house_face	0	space	0	rivalry	house_face		20.0	24.637186099775136	2.0210712999105453
1	22.81207240000367	house_face	0	space	1195	rivalry	house_face		20.0	26.65825739968568	0.19583769980818033
0	23.007910099811852	stim	0		180	break	break	3.0		26.85409509949386	3.0060825999826193
2	26.01399269979447	stim	0		100	unambiguous	house	1.6741686466724421		29.86017769947648	1.6691662003286183
3	27.68315890012309	stim	0		0	unambiguous	face	3.277106912128229		31.5293438998051	0.8000674000941217
3	28.48322630021721	face	0	space	194	unambiguous	face		3.277106912128229	32.32941129989922	2.4674502997659147
4	30.950676599983126	stim	0		0	unambiguous	house	3.254802957912278		34.796861599665135	0.5168399000540376
4	31.467516500037163	house	0	space	196	unambiguous	house		3.254802957912278	35.31370149971917	2.7504716999828815
5	34.217988200020045	stim	0		0	unambiguous	face	1.680173956318933		38.064173199702054	0.5835458999499679
5	34.80153409997001	face	0	space	100	unambiguous	face		1.680173956318933	38.64771909965202	1.0840687002055347
6	35.88560280017555	stim	0		0	unambiguous	house	5.077637964941879		39.73178779985756	0.48737099999561906
6	36.37297380017117	house	0	space	303	unambiguous	house		5.077637964941879	40.219158799853176	4.5909577999264
7	40.96393160009757	stim	0		0	unambiguous	face	5.036109562026239		44.810116599779576	0.35029530012980103
7	41.31422690022737	face	0	space	303	unambiguous	face		5.036109562026239	45.16041189990938	4.700166399590671
0	46.01439329981804	stim	0		179	break	break	3.0		49.86057829950005	2.9845581999979913
8	48.99895149981603	stim	0		0	rivalry	house_face	20.0		52.84513649949804	1.0017306003719568
8	50.00068210018799	house_face	0	space	0	rivalry	house_face		20.0	53.846867099869996	1.6334844999946654
8	51.63416660018265	house_face	0	space	0	rivalry	house_face		20.0	55.48035159986466	2.400451199617237
8	54.03461779979989	house_face	0	space	0	rivalry	house_face		20.0	57.8808027994819	1.418078700080514
8	55.4526964998804	house_face	0	space	0	rivalry	house_face		20.0	59.29888149956241	1.1164104999043047
8	56.56910699978471	house_face	0	space	0	rivalry	house_face		20.0	60.41529199946672	1.969486300367862
8	58.53859330015257	house_face	0	space	0	rivalry	house_face		20.0	62.38477829983458	1.9191417000256479
8	60.45773500017822	house_face	0	space	0	rivalry	house_face		20.0	64.30391999986023	2.3058401998132467
8	62.763575199991465	house_face	0	space	0	rivalry	house_face		20.0	66.60976019967347	2.234348100144416
8	64.99792330013588	house_face	0	space	0	rivalry	house_face		20.0	68.84410829981789	1.667709699831903
8	66.66563299996778	house_face	0	space	0	rivalry	house_face		20.0	70.5118179996498	1.0502090998925269
8	67.71584209986031	house_face	0	space	1194	rivalry	house_face		20.0	71.56202709954232	1.2842355999164283
0	69.00007769977674	stim	0		180	break	break	3.0		72.84626269945875	3.003454999998212
9	72.00353269977495	stim	0		262	unambiguous	face	4.367682337779014		75.84971769945696	4.3701316001825035
10	76.37366429995745	stim	0		0	unambiguous	house	3.5125130596604293		80.21984929963946	0.4193517002277076
10	76.79301600018516	house	0	space	208	unambiguous	house		3.5125130596604293	80.63920099986717	3.0871647000312805
11	79.88018070021644	stim	0		24	unambiguous	face	0.40131935758471515		83.72636569989845	0.4000016995705664
12	80.28018239978701	stim	0		0	unambiguous	house	6.866218740478962		84.12636739946902	0.05169300036504865
12	80.33187540015206	house	0	space	411	unambiguous	house		6.866218740478962	84.17806039983407	6.817250799853355
13	87.14912620000541	stim	0		0	unambiguous	face	3.1446301997947677		90.99531119968742	0.43371509993448853
13	87.5828412999399	face	0	space	189	unambiguous	face		3.1446301997947677	91.42902629962191	2.7169483001343906
14	90.29978960007429	stim	0		0	unambiguous	house	1.7076363047021133		94.1459745997563	0.38379739969968796
14	90.68358699977398	house	0	space	102	unambiguous	house		1.7076363047021133	94.52977199945599	1.3162203002721071
0	91.99980730004609	stim	0		180	break	break	3.0		95.8459922997281	3.4670866997912526
