trial_nr	onset	event_type	phase	response	nr_frames	block_type	trial_type	onset_abs	duration
0	0.010532299987971783	stim	0		180	break	break	18.332005999982357	3.003374299965799
1	3.0139065999537706	stim	0		719	rivalry	house_face	21.335380299948156	11.994659799616784
0	15.008566399570554	stim	0		180	break	break	33.33004009956494	2.9997554002329707
2	18.008321799803525	stim	0		393	unambiguous	house	36.32979549979791	6.553796200081706
3	24.56211799988523	stim	0		326	unambiguous	face	42.88359169987962	5.438164399936795
0	30.000282399822026	stim	0		53	break	break	48.32175609981641	0.8872774997726083
