trial_nr	onset	event_type	phase	response	nr_frames	block_type	trial_type	onset_abs	duration
0	0.01379309967160225	stim	0		179	break	break	2.9104037997312844	2.992725500371307
1	3.0065186000429094	stim	0		393	unambiguous	face	5.9031293001025915	6.579953799955547
2	9.586472399998456	stim	0		0	unambiguous	house	12.483083100058138	0.817406099755317
2	10.403878499753773	house	0	space	324	unambiguous	house	13.300489199813455	4.60945750027895
0	15.013336000032723	stim	0		179	break	break	17.909946700092405	3.001162199769169
3	18.014498199801892	stim	0		0	rivalry	house_face	20.911108899861574	2.1066223001107574
3	20.12112049991265	house_face	0	space	0	rivalry	house_face	23.01773119997233	5.827217500191182
3	25.94833800010383	house_face	0	space	0	rivalry	house_face	28.844948700163513	3.3222070997580886
3	29.27054509986192	house_face	0	space	715	rivalry	house_face	32.1671557999216	0.7305776001885533
0	30.001122700050473	stim	0		180	break	break	32.897733400110155	3.011034999974072
4	33.012157700024545	stim	0		420	unambiguous	house	35.90876840008423	7.023872899822891
5	40.036030599847436	stim	0		0	unambiguous	face	42.93264129990712	0.8733657002449036
5	40.90939630009234	face	0	space	296	unambiguous	face	43.80600700015202	4.103756499942392
0	45.01315280003473	stim	0		178	break	break	47.909763500094414	2.987700699828565
6	48.0008534998633	stim	0		0	rivalry	house_face	50.89746419992298	3.8609759998507798
6	51.86182949971408	house_face	0	space	0	rivalry	house_face	54.75844019977376	2.7720556003041565
6	54.63388510001823	house_face	0	space	0	rivalry	house_face	57.530495800077915	2.374831599649042
6	57.008716699667275	house_face	0	space	0	rivalry	house_face	59.90532739972696	2.2039316003210843
6	59.21264829998836	house_face	0	space	715	rivalry	house_face	62.10925900004804	0.8005927996709943
0	60.01324109965935	stim	0		179	break	break	62.909851799719036	6.767543400172144
