trial_nr	onset	event_type	phase	response	nr_frames	block_type	trial_type	color_comb	response_hand	phase_duration	onset_abs	duration
0	0.012060880661010742	stim	0		358	break	break	break	left	3.0	1762.0077228546143	2.9912002086639404
1	3.003261089324951	stim	0		0	rivalry	house_face	rivalry_redface	left	120.0	1764.9989230632782	7.417085886001587
1	10.420346975326538	house_face	0	3	0	rivalry	house_face	rivalry_redface	left	120.0	1772.4160089492798	3.224329948425293
1	13.644676923751831	house_face	0	3	0	rivalry	house_face	rivalry_redface	left	120.0	1775.640338897705	4.392100095748901
1	18.036777019500732	house_face	0	3	0	rivalry	house_face	rivalry_redface	left	120.0	1780.032438993454	2.0170249938964844
1	20.053802013397217	house_face	0	3	0	rivalry	house_face	rivalry_redface	left	120.0	1782.0494639873505	8.217825889587402
1	28.27162790298462	house_face	0	3	0	rivalry	house_face	rivalry_redface	left	120.0	1790.2672898769379	3.254276990890503
1	31.525904893875122	house_face	0	3	0	rivalry	house_face	rivalry_redface	left	120.0	1793.5215668678284	5.305124998092651
1	36.83102989196777	house_face	0	3	0	rivalry	house_face	rivalry_redface	left	120.0	1798.826691865921	2.852644205093384
1	39.68367409706116	house_face	0	3	0	rivalry	house_face	rivalry_redface	left	120.0	1801.6793360710144	1.9748029708862305
1	41.65847706794739	house_face	0	3	0	rivalry	house_face	rivalry_redface	left	120.0	1803.6541390419006	1.2581579685211182
1	42.916635036468506	house_face	0	3	0	rivalry	house_face	rivalry_redface	left	120.0	1804.9122970104218	3.3165228366851807
1	46.23315787315369	house_face	0	3	0	rivalry	house_face	rivalry_redface	left	120.0	1808.228819847107	3.183387041091919
1	49.416544914245605	house_face	0	3	0	rivalry	house_face	rivalry_redface	left	120.0	1811.4122068881989	2.7250521183013916
1	52.141597032547	house_face	0	3	0	rivalry	house_face	rivalry_redface	left	120.0	1814.1372590065002	5.042366981506348
1	57.183964014053345	house_face	0	3	0	rivalry	house_face	rivalry_redface	left	120.0	1819.1796259880066	1.2002530097961426
1	58.38421702384949	house_face	0	3	0	rivalry	house_face	rivalry_redface	left	120.0	1820.3798789978027	4.3090269565582275
1	62.693243980407715	house_face	0	3	0	rivalry	house_face	rivalry_redface	left	120.0	1824.688905954361	1.2216589450836182
1	63.91490292549133	house_face	0	3	0	rivalry	house_face	rivalry_redface	left	120.0	1825.9105648994446	1.7870290279388428
1	65.70193195343018	house_face	0	3	0	rivalry	house_face	rivalry_redface	left	120.0	1827.6975939273834	1.5377240180969238
1	67.2396559715271	house_face	0	3	0	rivalry	house_face	rivalry_redface	left	120.0	1829.2353179454803	1.9291889667510986
1	69.1688449382782	house_face	0	3	0	rivalry	house_face	rivalry_redface	left	120.0	1831.1645069122314	2.5955891609191895
1	71.76443409919739	house_face	0	3	0	rivalry	house_face	rivalry_redface	left	120.0	1833.7600960731506	1.463418960571289
1	73.22785305976868	house_face	0	3	0	rivalry	house_face	rivalry_redface	left	120.0	1835.223515033722	3.552794933319092
1	76.78064799308777	house_face	0	3	0	rivalry	house_face	rivalry_redface	left	120.0	1838.776309967041	2.499735116958618
1	79.28038311004639	house_face	0	3	0	rivalry	house_face	rivalry_redface	left	120.0	1841.2760450839996	1.8915109634399414
1	81.17189407348633	house_face	0	3	0	rivalry	house_face	rivalry_redface	left	120.0	1843.1675560474396	2.8415260314941406
1	84.01342010498047	house_face	0	3	0	rivalry	house_face	rivalry_redface	left	120.0	1846.0090820789337	1.6167387962341309
1	85.6301589012146	house_face	0	3	0	rivalry	house_face	rivalry_redface	left	120.0	1847.6258208751678	1.0916621685028076
1	86.72182106971741	house_face	0	3	0	rivalry	house_face	rivalry_redface	left	120.0	1848.7174830436707	1.5500428676605225
1	88.27186393737793	house_face	0	3	0	rivalry	house_face	rivalry_redface	left	120.0	1850.2675259113312	2.300179958343506
1	90.57204389572144	house_face	0	3	0	rivalry	house_face	rivalry_redface	left	120.0	1852.5677058696747	2.800340175628662
1	93.3723840713501	house_face	0	3	0	rivalry	house_face	rivalry_redface	left	120.0	1855.3680460453033	3.6840298175811768
1	97.05641388893127	house_face	0	3	0	rivalry	house_face	rivalry_redface	left	120.0	1859.0520758628845	1.6752641201019287
1	98.7316780090332	house_face	0	3	0	rivalry	house_face	rivalry_redface	left	120.0	1860.7273399829865	2.280540943145752
1	101.01221895217896	house_face	0	3	0	rivalry	house_face	rivalry_redface	left	120.0	1863.0078809261322	3.1950509548187256
1	104.20726990699768	house_face	0	3	0	rivalry	house_face	rivalry_redface	left	120.0	1866.202931880951	1.454207181930542
1	105.66147708892822	house_face	0	3	0	rivalry	house_face	rivalry_redface	left	120.0	1867.6571390628815	2.0461888313293457
1	107.70766592025757	house_face	0	3	0	rivalry	house_face	rivalry_redface	left	120.0	1869.7033278942108	1.7619869709014893
1	109.46965289115906	house_face	0	3	0	rivalry	house_face	rivalry_redface	left	120.0	1871.4653148651123	1.5217921733856201
1	110.99144506454468	house_face	0	3	0	rivalry	house_face	rivalry_redface	left	120.0	1872.987107038498	3.3611369132995605
1	114.35258197784424	house_face	0	3	0	rivalry	house_face	rivalry_redface	left	120.0	1876.3482439517975	3.5162858963012695
1	117.86886787414551	house_face	0	3	0	rivalry	house_face	rivalry_redface	left	120.0	1879.8645298480988	3.6415181159973145
1	121.51038599014282	house_face	0	3	14386	rivalry	house_face	rivalry_redface	left	120.0	1883.506047964096	1.4918200969696045
0	123.00220608711243	stim	0		360	break	break	break	left	3.0	1884.9978680610657	2.999871015548706
