trial_nr	onset	event_type	phase	response	nr_frames	block_type	trial_type	onset_abs	duration
0	0.02004119986668229	stim	0		179	break	break	2.6850701002404094	2.9893819000571966
1	3.009423099923879	stim	0		307	unambiguous	face	5.674452000297606	5.126988099887967
2	8.136411199811846	stim	0		411	unambiguous	house	10.801440100185573	6.863128100056201
0	14.999539299868047	stim	0		180	break	break	17.664568200241774	3.003485199995339
3	18.003024499863386	stim	0		719	rivalry	house_face	20.668053400237113	12.009771900251508
0	30.012796400114894	stim	0		179	break	break	32.67782530048862	2.9881368996575475
4	33.00093329977244	stim	0		489	unambiguous	house	35.66596220014617	8.166768100112677
5	41.16770139988512	stim	0		230	unambiguous	face	43.832730300258845	3.840282800141722
0	45.00798420002684	stim	0		179	break	break	47.67301310040057	2.997012499719858
6	48.0049966997467	stim	0		718	rivalry	house_face	50.670025600120425	12.005754900164902
