trial_nr	onset	event_type	phase	response	nr_frames	block_type	trial_type	onset_abs	duration
0	0.007721500005573034	stim	0		179	break	break	2.901419200003147	2.9899738002568483
1	2.9976953002624214	stim	0		334	unambiguous	face	5.8913930002599955	5.5793268997222185
2	8.57702219998464	stim	0		384	unambiguous	house	11.470719899982214	6.434550800360739
0	15.01157300034538	stim	0		179	break	break	17.905270700342953	3.0029771998524666
3	18.014550200197846	stim	0		717	rivalry	house_face	20.90824790019542	11.986945999786258
0	30.001496199984103	stim	0		87	break	break	32.89519389998168	1.4590471000410616
